Measure_code,AIRA_SIMPLE,COUNTRY_REGION
AIRA_1,NO,ALB
AIRA_1,YES,AND
AIRA_1,UD,ARM
AIRA_1,NO,AUT
AIRA_1,UD,AZE
AIRA_1,NO,BLR
AIRA_1,NO,BEL
AIRA_1,NO,BGR
AIRA_1,NO,HRV
AIRA_1,UD,CYP
AIRA_1,UD,CZE
AIRA_1,NO,DNK
AIRA_1,NO,EST
AIRA_1,YES,FIN
AIRA_1,NO,FRA
AIRA_1,NO,GEO
AIRA_1,NO,DEU
AIRA_1,NO,GRC
AIRA_1,NO,HUN
AIRA_1,NO,ISL
AIRA_1,NO,IRL
AIRA_1,UD,ISR
AIRA_1,UD,ITA
AIRA_1,NO,KAZ
AIRA_1,NO,KGZ
AIRA_1,NO,LVA
AIRA_1,NO,LTU
AIRA_1,NO,LUX
AIRA_1,NO,MLT
AIRA_1,NO,MNE
AIRA_1,NO,NLD
AIRA_1,NO,MKD
AIRA_1,NO,NOR
AIRA_1,NO,POL
AIRA_1,NO,PRT
AIRA_1,NO,MDA
AIRA_1,NO,ROU
AIRA_1,NO,RUS
AIRA_1,NO,SMR
AIRA_1,NO,SRB
AIRA_1,YES,SVK
AIRA_1,NO,SVN
AIRA_1,UD,ESP
AIRA_1,YES,SWE
AIRA_1,NO,CHE
AIRA_1,NO,TUR
AIRA_1,NO,TJK
AIRA_1,NO,UKR
AIRA_1,NO,GBR
AIRA_1,NO,UZB
AIRA_1,,BIH
AIRA_1,,MCO
AIRA_1,,TKM
AIRA_2,UD,ALB
AIRA_2,YES,AND
AIRA_2,UD,ARM
AIRA_2,YES,AUT
AIRA_2,NO,AZE
AIRA_2,NO,BLR
AIRA_2,YES,BEL
AIRA_2,YES,BGR
AIRA_2,UD,HRV
AIRA_2,NO,CYP
AIRA_2,YES,CZE
AIRA_2,YES,DNK
AIRA_2,UD,EST
AIRA_2,YES,FIN
AIRA_2,YES,FRA
AIRA_2,UD,GEO
AIRA_2,YES,DEU
AIRA_2,YES,GRC
AIRA_2,YES,HUN
AIRA_2,YES,ISL
AIRA_2,YES,IRL
AIRA_2,YES,ISR
AIRA_2,YES,ITA
AIRA_2,UD,KAZ
AIRA_2,NO,KGZ
AIRA_2,NO,LVA
AIRA_2,YES,LTU
AIRA_2,YES,LUX
AIRA_2,YES,MLT
AIRA_2,NO,MNE
AIRA_2,YES,NLD
AIRA_2,NO,MKD
AIRA_2,YES,NOR
AIRA_2,YES,POL
AIRA_2,YES,PRT
AIRA_2,NO,MDA
AIRA_2,YES,ROU
AIRA_2,YES,RUS
AIRA_2,DNK,SMR
AIRA_2,YES,SRB
AIRA_2,YES,SVK
AIRA_2,YES,SVN
AIRA_2,YES,ESP
AIRA_2,YES,SWE
AIRA_2,YES,CHE
AIRA_2,YES,TUR
AIRA_2,UD,TJK
AIRA_2,YES,UKR
AIRA_2,YES,GBR
AIRA_2,UD,UZB
AIRA_2,,BIH
AIRA_2,,MCO
AIRA_2,,TKM
AIRA_3,YES,ALB
AIRA_3,NO,AND
AIRA_3,YES,ARM
AIRA_3,YES,AUT
AIRA_3,,AZE
AIRA_3,,BLR
AIRA_3,YES,BEL
AIRA_3,NO,BGR
AIRA_3,NO,HRV
AIRA_3,,CYP
AIRA_3,NO,CZE
AIRA_3,YES,DNK
AIRA_3,YES,EST
AIRA_3,NO,FIN
AIRA_3,YES,FRA
AIRA_3,NO,GEO
AIRA_3,NO,DEU
AIRA_3,NO,GRC
AIRA_3,NO,HUN
AIRA_3,NO,ISL
AIRA_3,NO,IRL
AIRA_3,NO,ISR
AIRA_3,NO,ITA
AIRA_3,YES,KAZ
AIRA_3,,KGZ
AIRA_3,,LVA
AIRA_3,NO,LTU
AIRA_3,NO,LUX
AIRA_3,NO,MLT
AIRA_3,,MNE
AIRA_3,NO,NLD
AIRA_3,,MKD
AIRA_3,YES,NOR
AIRA_3,YES,POL
AIRA_3,NO,PRT
AIRA_3,,MDA
AIRA_3,NO,ROU
AIRA_3,YES,RUS
AIRA_3,,SMR
AIRA_3,YES,SRB
AIRA_3,YES,SVK
AIRA_3,NO,SVN
AIRA_3,NO,ESP
AIRA_3,YES,SWE
AIRA_3,YES,CHE
AIRA_3,YES,TUR
AIRA_3,NO,TJK
AIRA_3,YES,UKR
AIRA_3,YES,GBR
AIRA_3,YES,UZB
AIRA_3,,BIH
AIRA_3,,MCO
AIRA_3,,TKM
AIRA_4,NO,ALB
AIRA_4,NO,AND
AIRA_4,NO,ARM
AIRA_4,YES,AUT
AIRA_4,,AZE
AIRA_4,,BLR
AIRA_4,NO,BEL
AIRA_4,NO,BGR
AIRA_4,NO,HRV
AIRA_4,,CYP
AIRA_4,NO,CZE
AIRA_4,NO,DNK
AIRA_4,NO,EST
AIRA_4,NO,FIN
AIRA_4,NO,FRA
AIRA_4,NO,GEO
AIRA_4,NO,DEU
AIRA_4,NO,GRC
AIRA_4,NO,HUN
AIRA_4,NO,ISL
AIRA_4,NO,IRL
AIRA_4,NO,ISR
AIRA_4,NO,ITA
AIRA_4,NO,KAZ
AIRA_4,,KGZ
AIRA_4,,LVA
AIRA_4,NO,LTU
AIRA_4,NO,LUX
AIRA_4,NO,MLT
AIRA_4,,MNE
AIRA_4,NO,NLD
AIRA_4,,MKD
AIRA_4,NO,NOR
AIRA_4,NO,POL
AIRA_4,NO,PRT
AIRA_4,,MDA
AIRA_4,NO,ROU
AIRA_4,YES,RUS
AIRA_4,,SMR
AIRA_4,NO,SRB
AIRA_4,NO,SVK
AIRA_4,NO,SVN
AIRA_4,YES,ESP
AIRA_4,NO,SWE
AIRA_4,NO,CHE
AIRA_4,NO,TUR
AIRA_4,YES,TJK
AIRA_4,NO,UKR
AIRA_4,NO,GBR
AIRA_4,YES,UZB
AIRA_4,,BIH
AIRA_4,,MCO
AIRA_4,,TKM
AIRA_5,NO,ALB
AIRA_5,NO,AND
AIRA_5,YES,ARM
AIRA_5,YES,AUT
AIRA_5,,AZE
AIRA_5,,BLR
AIRA_5,NO,BEL
AIRA_5,NO,BGR
AIRA_5,NO,HRV
AIRA_5,,CYP
AIRA_5,NO,CZE
AIRA_5,NO,DNK
AIRA_5,NO,EST
AIRA_5,YES,FIN
AIRA_5,NO,FRA
AIRA_5,NO,GEO
AIRA_5,NO,DEU
AIRA_5,NO,GRC
AIRA_5,NO,HUN
AIRA_5,NO,ISL
AIRA_5,NO,IRL
AIRA_5,NO,ISR
AIRA_5,NO,ITA
AIRA_5,NO,KAZ
AIRA_5,,KGZ
AIRA_5,,LVA
AIRA_5,YES,LTU
AIRA_5,NO,LUX
AIRA_5,NO,MLT
AIRA_5,,MNE
AIRA_5,NO,NLD
AIRA_5,,MKD
AIRA_5,YES,NOR
AIRA_5,NO,POL
AIRA_5,NO,PRT
AIRA_5,,MDA
AIRA_5,NO,ROU
AIRA_5,NO,RUS
AIRA_5,,SMR
AIRA_5,YES,SRB
AIRA_5,NO,SVK
AIRA_5,NO,SVN
AIRA_5,YES,ESP
AIRA_5,NO,SWE
AIRA_5,NO,CHE
AIRA_5,NO,TUR
AIRA_5,NO,TJK
AIRA_5,NO,UKR
AIRA_5,NO,GBR
AIRA_5,NO,UZB
AIRA_5,,BIH
AIRA_5,,MCO
AIRA_5,,TKM
AIRA_6,NO,ALB
AIRA_6,NO,AND
AIRA_6,YES,ARM
AIRA_6,NO,AUT
AIRA_6,,AZE
AIRA_6,,BLR
AIRA_6,NO,BEL
AIRA_6,NO,BGR
AIRA_6,NO,HRV
AIRA_6,,CYP
AIRA_6,NO,CZE
AIRA_6,NO,DNK
AIRA_6,NO,EST
AIRA_6,YES,FIN
AIRA_6,NO,FRA
AIRA_6,NO,GEO
AIRA_6,NO,DEU
AIRA_6,NO,GRC
AIRA_6,NO,HUN
AIRA_6,NO,ISL
AIRA_6,NO,IRL
AIRA_6,NO,ISR
AIRA_6,NO,ITA
AIRA_6,NO,KAZ
AIRA_6,,KGZ
AIRA_6,,LVA
AIRA_6,NO,LTU
AIRA_6,NO,LUX
AIRA_6,NO,MLT
AIRA_6,,MNE
AIRA_6,NO,NLD
AIRA_6,,MKD
AIRA_6,NO,NOR
AIRA_6,NO,POL
AIRA_6,NO,PRT
AIRA_6,,MDA
AIRA_6,NO,ROU
AIRA_6,NO,RUS
AIRA_6,,SMR
AIRA_6,NO,SRB
AIRA_6,YES,SVK
AIRA_6,NO,SVN
AIRA_6,NO,ESP
AIRA_6,NO,SWE
AIRA_6,NO,CHE
AIRA_6,NO,TUR
AIRA_6,NO,TJK
AIRA_6,NO,UKR
AIRA_6,NO,GBR
AIRA_6,NO,UZB
AIRA_6,,BIH
AIRA_6,,MCO
AIRA_6,,TKM
AIRA_7,NO,ALB
AIRA_7,YES,AND
AIRA_7,YES,ARM
AIRA_7,NO,AUT
AIRA_7,,AZE
AIRA_7,,BLR
AIRA_7,NO,BEL
AIRA_7,NO,BGR
AIRA_7,YES,HRV
AIRA_7,,CYP
AIRA_7,YES,CZE
AIRA_7,NO,DNK
AIRA_7,YES,EST
AIRA_7,YES,FIN
AIRA_7,YES,FRA
AIRA_7,NO,GEO
AIRA_7,NO,DEU
AIRA_7,NO,GRC
AIRA_7,YES,HUN
AIRA_7,NO,ISL
AIRA_7,YES,IRL
AIRA_7,YES,ISR
AIRA_7,NO,ITA
AIRA_7,YES,KAZ
AIRA_7,,KGZ
AIRA_7,,LVA
AIRA_7,NO,LTU
AIRA_7,NO,LUX
AIRA_7,YES,MLT
AIRA_7,,MNE
AIRA_7,YES,NLD
AIRA_7,,MKD
AIRA_7,YES,NOR
AIRA_7,NO,POL
AIRA_7,YES,PRT
AIRA_7,,MDA
AIRA_7,YES,ROU
AIRA_7,YES,RUS
AIRA_7,,SMR
AIRA_7,NO,SRB
AIRA_7,NO,SVK
AIRA_7,NO,SVN
AIRA_7,YES,ESP
AIRA_7,YES,SWE
AIRA_7,NO,CHE
AIRA_7,NO,TUR
AIRA_7,NO,TJK
AIRA_7,NO,UKR
AIRA_7,NO,GBR
AIRA_7,NO,UZB
AIRA_7,,BIH
AIRA_7,,MCO
AIRA_7,,TKM
AIRA_8,YES,ALB
AIRA_8,UD,AND
AIRA_8,NO,ARM
AIRA_8,NO,AUT
AIRA_8,NO,AZE
AIRA_8,NO,BLR
AIRA_8,YES,BEL
AIRA_8,UD,BGR
AIRA_8,UD,HRV
AIRA_8,UD,CYP
AIRA_8,UD,CZE
AIRA_8,NO,DNK
AIRA_8,UD,EST
AIRA_8,NO,FIN
AIRA_8,NO,FRA
AIRA_8,DNK,GEO
AIRA_8,NO,DEU
AIRA_8,DNK,GRC
AIRA_8,NO,HUN
AIRA_8,NO,ISL
AIRA_8,NO,IRL
AIRA_8,UD,ISR
AIRA_8,UD,ITA
AIRA_8,UD,KAZ
AIRA_8,DNK,KGZ
AIRA_8,UD,LVA
AIRA_8,NO,LTU
AIRA_8,UD,LUX
AIRA_8,NO,MLT
AIRA_8,UD,MNE
AIRA_8,UD,NLD
AIRA_8,NO,MKD
AIRA_8,YES,NOR
AIRA_8,UD,POL
AIRA_8,NO,PRT
AIRA_8,NO,MDA
AIRA_8,NO,ROU
AIRA_8,YES,RUS
AIRA_8,NO,SMR
AIRA_8,NO,SRB
AIRA_8,NO,SVK
AIRA_8,NO,SVN
AIRA_8,UD,ESP
AIRA_8,NO,SWE
AIRA_8,DNK,CHE
AIRA_8,UD,TUR
AIRA_8,UD,TJK
AIRA_8,NO,UKR
AIRA_8,NO,GBR
AIRA_8,UD,UZB
AIRA_8,,BIH
AIRA_8,,MCO
AIRA_8,,TKM
AIRA_9,YES,ALB
AIRA_9,NO,AND
AIRA_9,YES,ARM
AIRA_9,YES,AUT
AIRA_9,NO,AZE
AIRA_9,NO,BLR
AIRA_9,NO,BEL
AIRA_9,NO,BGR
AIRA_9,YES,HRV
AIRA_9,YES,CYP
AIRA_9,NO,CZE
AIRA_9,NO,DNK
AIRA_9,NO,EST
AIRA_9,YES,FIN
AIRA_9,YES,FRA
AIRA_9,YES,GEO
AIRA_9,NO,DEU
AIRA_9,YES,GRC
AIRA_9,YES,HUN
AIRA_9,NO,ISL
AIRA_9,NO,IRL
AIRA_9,YES,ISR
AIRA_9,NO,ITA
AIRA_9,YES,KAZ
AIRA_9,NO,KGZ
AIRA_9,NO,LVA
AIRA_9,NO,LTU
AIRA_9,YES,LUX
AIRA_9,YES,MLT
AIRA_9,YES,MNE
AIRA_9,YES,NLD
AIRA_9,NO,MKD
AIRA_9,YES,NOR
AIRA_9,YES,POL
AIRA_9,NO,PRT
AIRA_9,YES,MDA
AIRA_9,NO,ROU
AIRA_9,YES,RUS
AIRA_9,NO,SMR
AIRA_9,NO,SRB
AIRA_9,YES,SVK
AIRA_9,NO,SVN
AIRA_9,NO,ESP
AIRA_9,NO,SWE
AIRA_9,NO,CHE
AIRA_9,NO,TUR
AIRA_9,YES,TJK
AIRA_9,NO,UKR
AIRA_9,YES,GBR
AIRA_9,NO,UZB
AIRA_9,,BIH
AIRA_9,,MCO
AIRA_9,,TKM
AIRA_10,YES,ALB
AIRA_10,NO,AND
AIRA_10,NO,ARM
AIRA_10,NO,AUT
AIRA_10,YES,AZE
AIRA_10,NO,BLR
AIRA_10,YES,BEL
AIRA_10,NO,BGR
AIRA_10,NO,HRV
AIRA_10,NO,CYP
AIRA_10,NO,CZE
AIRA_10,NO,DNK
AIRA_10,NO,EST
AIRA_10,NO,FIN
AIRA_10,NO,FRA
AIRA_10,NO,GEO
AIRA_10,NO,DEU
AIRA_10,NO,GRC
AIRA_10,NO,HUN
AIRA_10,NO,ISL
AIRA_10,NO,IRL
AIRA_10,NO,ISR
AIRA_10,YES,ITA
AIRA_10,NO,KAZ
AIRA_10,NO,KGZ
AIRA_10,NO,LVA
AIRA_10,NO,LTU
AIRA_10,NO,LUX
AIRA_10,NO,MLT
AIRA_10,NO,MNE
AIRA_10,NO,NLD
AIRA_10,NO,MKD
AIRA_10,YES,NOR
AIRA_10,NO,POL
AIRA_10,NO,PRT
AIRA_10,YES,MDA
AIRA_10,NO,ROU
AIRA_10,YES,RUS
AIRA_10,NO,SMR
AIRA_10,YES,SRB
AIRA_10,NO,SVK
AIRA_10,NO,SVN
AIRA_10,NO,ESP
AIRA_10,NO,SWE
AIRA_10,NO,CHE
AIRA_10,YES,TUR
AIRA_10,YES,TJK
AIRA_10,NO,UKR
AIRA_10,YES,GBR
AIRA_10,NO,UZB
AIRA_10,,BIH
AIRA_10,,MCO
AIRA_10,,TKM
AIRA_11,YES,ALB
AIRA_11,NO,AND
AIRA_11,YES,ARM
AIRA_11,YES,AUT
AIRA_11,NO,AZE
AIRA_11,NO,BLR
AIRA_11,NO,BEL
AIRA_11,NO,BGR
AIRA_11,NO,HRV
AIRA_11,NO,CYP
AIRA_11,YES,CZE
AIRA_11,NO,DNK
AIRA_11,YES,EST
AIRA_11,YES,FIN
AIRA_11,YES,FRA
AIRA_11,NO,GEO
AIRA_11,NO,DEU
AIRA_11,NO,GRC
AIRA_11,NO,HUN
AIRA_11,YES,ISL
AIRA_11,YES,IRL
AIRA_11,NO,ISR
AIRA_11,NO,ITA
AIRA_11,NO,KAZ
AIRA_11,NO,KGZ
AIRA_11,NO,LVA
AIRA_11,YES,LTU
AIRA_11,NO,LUX
AIRA_11,NO,MLT
AIRA_11,NO,MNE
AIRA_11,YES,NLD
AIRA_11,YES,MKD
AIRA_11,YES,NOR
AIRA_11,NO,POL
AIRA_11,NO,PRT
AIRA_11,YES,MDA
AIRA_11,YES,ROU
AIRA_11,NO,RUS
AIRA_11,YES,SMR
AIRA_11,NO,SRB
AIRA_11,NO,SVK
AIRA_11,NO,SVN
AIRA_11,NO,ESP
AIRA_11,YES,SWE
AIRA_11,NO,CHE
AIRA_11,NO,TUR
AIRA_11,NO,TJK
AIRA_11,NO,UKR
AIRA_11,NO,GBR
AIRA_11,NO,UZB
AIRA_11,,BIH
AIRA_11,,MCO
AIRA_11,,TKM
AIRA_12,YES,ALB
AIRA_12,NO,AND
AIRA_12,NO,ARM
AIRA_12,NO,AUT
AIRA_12,YES,AZE
AIRA_12,NO,BLR
AIRA_12,NO,BEL
AIRA_12,NO,BGR
AIRA_12,NO,HRV
AIRA_12,NO,CYP
AIRA_12,NO,CZE
AIRA_12,NO,DNK
AIRA_12,YES,EST
AIRA_12,NO,FIN
AIRA_12,NO,FRA
AIRA_12,YES,GEO
AIRA_12,NO,DEU
AIRA_12,NO,GRC
AIRA_12,NO,HUN
AIRA_12,NO,ISL
AIRA_12,NO,IRL
AIRA_12,NO,ISR
AIRA_12,YES,ITA
AIRA_12,YES,KAZ
AIRA_12,NO,KGZ
AIRA_12,YES,LVA
AIRA_12,YES,LTU
AIRA_12,NO,LUX
AIRA_12,NO,MLT
AIRA_12,NO,MNE
AIRA_12,YES,NLD
AIRA_12,YES,MKD
AIRA_12,NO,NOR
AIRA_12,NO,POL
AIRA_12,YES,PRT
AIRA_12,NO,MDA
AIRA_12,YES,ROU
AIRA_12,YES,RUS
AIRA_12,NO,SMR
AIRA_12,YES,SRB
AIRA_12,NO,SVK
AIRA_12,NO,SVN
AIRA_12,YES,ESP
AIRA_12,NO,SWE
AIRA_12,NO,CHE
AIRA_12,YES,TUR
AIRA_12,NO,TJK
AIRA_12,NO,UKR
AIRA_12,NO,GBR
AIRA_12,YES,UZB
AIRA_12,,BIH
AIRA_12,,MCO
AIRA_12,,TKM
AIRA_13,NO,ALB
AIRA_13,NO,AND
AIRA_13,NO,ARM
AIRA_13,NO,AUT
AIRA_13,YES,AZE
AIRA_13,NO,BLR
AIRA_13,NO,BEL
AIRA_13,NO,BGR
AIRA_13,YES,HRV
AIRA_13,NO,CYP
AIRA_13,NO,CZE
AIRA_13,NO,DNK
AIRA_13,NO,EST
AIRA_13,NO,FIN
AIRA_13,NO,FRA
AIRA_13,NO,GEO
AIRA_13,NO,DEU
AIRA_13,NO,GRC
AIRA_13,NO,HUN
AIRA_13,NO,ISL
AIRA_13,NO,IRL
AIRA_13,NO,ISR
AIRA_13,NO,ITA
AIRA_13,NO,KAZ
AIRA_13,NO,KGZ
AIRA_13,NO,LVA
AIRA_13,NO,LTU
AIRA_13,NO,LUX
AIRA_13,NO,MLT
AIRA_13,NO,MNE
AIRA_13,YES,NLD
AIRA_13,YES,MKD
AIRA_13,YES,NOR
AIRA_13,NO,POL
AIRA_13,NO,PRT
AIRA_13,NO,MDA
AIRA_13,NO,ROU
AIRA_13,YES,RUS
AIRA_13,NO,SMR
AIRA_13,NO,SRB
AIRA_13,NO,SVK
AIRA_13,NO,SVN
AIRA_13,YES,ESP
AIRA_13,YES,SWE
AIRA_13,NO,CHE
AIRA_13,NO,TUR
AIRA_13,YES,TJK
AIRA_13,YES,UKR
AIRA_13,NO,GBR
AIRA_13,NO,UZB
AIRA_13,,BIH
AIRA_13,,MCO
AIRA_13,,TKM
AIRA_14,NO,ALB
AIRA_14,YES,AND
AIRA_14,NO,ARM
AIRA_14,NO,AUT
AIRA_14,YES,AZE
AIRA_14,NO,BLR
AIRA_14,NO,BEL
AIRA_14,NO,BGR
AIRA_14,NO,HRV
